match_id,radiant_win,radiant_team,dire_team,avg_mmr,num_mmr,game_mode,lobby_type
6536979208,True,"16,97,121,8,40","1,47,80,31,9",3272.0,1.0,22,7
6536979207,False,"101,73,102,104,137","68,30,128,42,98",2284.0,1.0,22,7
6536979206,True,"22,2,64,26,12","67,14,129,31,46",,,22,7
6536979205,True,"93,2,129,75,4","62,87,80,18,16",1897.0,1.0,4,0
6536979117,False,"42,106,75,74,58","47,93,64,35,59",2981.0,1.0,22,7
6536979109,True,"30,75,6,14,52","39,51,123,50,12",2393.0,2.0,22,7
6536979014,True,"35,73,45,2,113","81,64,47,86,121",1941.0,2.0,22,7
6536979010,False,"5,8,17,97,7","43,46,36,62,57",4590.0,3.0,22,7
6536979009,False,"1,5,71,103,17","16,21,74,86,42",2655.0,3.0,22,7
6536979000,True,"81,75,53,84,35","74,93,86,126,14",,,22,7
6536978915,True,"105,71,43,94,93","9,85,25,106,90",2064.0,1.0,22,7
6536978914,False,"25,54,106,35,20","11,71,90,39,128",1987.0,2.0,22,7
6536978907,False,"104,112,8,76,7","32,137,14,90,46",,,22,7
6536978906,False,"135,76,84,94,40","34,20,62,19,137",2890.0,1.0,22,7
6536978905,False,"36,4,10,39,21","34,93,53,101,9",3250.0,1.0,22,7
6536978901,True,"57,13,74,2,44","8,39,108,46,84",942.0,1.0,22,7
6536978900,False,"74,136,28,81,26","123,114,27,47,129",,,22,7
6536978819,False,"1,14,49,71,11","63,9,105,84,129",3623.0,2.0,22,7
6536978814,False,"63,79,49,11,36","46,5,20,15,6",2550.0,1.0,22,0
6536978813,False,"129,85,74,128,63","7,76,36,12,75",,,22,7
6536978810,True,"14,49,67,30,46","44,36,25,58,128",2294.0,1.0,22,7
6536978800,False,"23,31,29,72,30","126,16,64,136,8",3612.0,3.0,22,7
6536978716,False,"129,94,97,75,106","86,26,1,14,55",2450.0,1.0,22,7
6536978715,False,"5,35,44,13,58","36,1,16,21,14",2506.0,2.0,22,7
6536978711,False,"93,35,10,14,84","136,2,44,110,111",,,22,7
6536978710,False,"20,99,26,39,126","72,129,41,47,119",,,22,7
6536978708,True,"106,54,39,101,62","47,44,26,86,2",3362.0,2.0,22,7
6536978609,True,"99,29,94,37,35","41,16,74,30,105",3199.0,5.0,22,7
6536978608,False,"46,59,105,126,26","107,2,71,8,72",2534.0,2.0,22,7
6536978601,False,"54,43,64,88,2","32,76,79,81,8",3171.0,4.0,3,0
6536978513,True,"101,84,6,33,73","48,2,36,74,105",2624.0,2.0,22,7
6536978506,False,"27,59,34,35,26","47,42,68,56,28",3230.0,3.0,22,7
6536978505,True,"109,74,60,120,47","128,14,19,11,100",2241.0,2.0,22,7
6536978504,True,"35,75,48,83,129","34,26,36,100,19",,,22,7
6536978503,False,"135,1,25,123,121","11,5,89,9,81",,,22,7
6536978502,True,"26,48,104,64,53","72,42,58,75,85",4007.0,1.0,22,7
6536978414,True,"104,6,63,21,114","47,50,25,72,44",,,22,0
6536978413,False,"45,71,29,32,9","49,59,19,136,58",4554.0,4.0,22,7
6536978412,False,"76,105,47,1,69","6,51,84,39,43",2231.0,2.0,3,7
6536978409,False,"64,44,26,79,37","74,30,36,99,81",,,22,7
6536978403,True,"6,63,81,119,27","94,104,36,50,76",,,22,7
6536978402,False,"8,79,53,105,59","97,136,6,17,74",3158.0,1.0,22,7
6536978310,True,"128,119,7,100,9","97,27,72,106,74",629.0,1.0,22,7
6536978308,False,"58,76,15,88,69","85,78,60,123,106",3558.0,3.0,3,7
6536978307,True,"23,27,64,105,44","35,68,84,8,78",3379.0,1.0,22,7
6536978306,False,"63,74,137,84,27","100,21,64,70,23",,,22,7
6536978219,False,"72,29,8,123,59","96,64,104,12,93",2818.0,1.0,22,7
6536978218,True,"54,29,101,93,55","8,62,49,64,20",2671.0,2.0,22,7
6536978209,True,"45,68,49,37,94","9,129,101,1,73",3752.0,4.0,22,7
6536978208,False,"99,41,74,114,64","56,90,8,137,21",4162.0,1.0,22,7
6536978206,True,"35,112,31,93,81","14,59,47,114,84",2928.0,2.0,22,7
6536978205,False,"86,27,19,45,84","104,42,78,137,97",,,22,7
6536978117,False,"72,64,25,101,19","39,62,1,81,119",3461.0,2.0,22,7
6536978116,False,"85,71,98,44,90","42,35,73,107,45",3314.0,4.0,3,7
6536978114,True,"104,82,54,40,66","81,71,15,113,60",3533.0,1.0,22,7
6536978103,True,"23,35,26,76,45","40,98,25,101,119",3582.0,2.0,22,0
6536978101,False,"1,27,39,49,31","93,30,73,104,62",3584.0,1.0,22,7
6536978100,False,"35,33,2,27,74","85,76,119,42,36",1096.0,1.0,22,7
6536978018,False,"27,74,10,43,70","30,14,55,44,62",2068.0,1.0,22,7
6536978017,True,"22,110,30,2,54","94,99,6,14,79",3104.0,1.0,22,0
6536978016,True,"27,71,94,16,68","55,44,2,26,21",2587.0,2.0,22,7
6536978014,True,"40,70,74,69,135","25,90,2,8,33",3154.0,1.0,22,7
6536978013,True,"84,5,59,8,85","25,9,58,67,14",2321.0,2.0,22,7
